title,summary,authors,published,link,category
"A Survey Study to Understand Industry Vision for Virtual and Augmented
  Reality Applications in Design and Construction","With advances in Building Information Modeling (BIM), Virtual Reality (VR) and Augmented Reality (AR) technologies have many potential applications in the Architecture, Engineering, and Construction (AEC) industry. However, the AEC industry, relative to other industries, has been slow in adopting AR/VR technologies, partly due to lack of feasibility studies examining the actual cost of implementation versus an increase in profit. The main objectives of this paper are to understand the industry trends in adopting AR/VR technologies and identifying gaps between AEC research and industry practices. The identified gaps can lead to opportunities for developing new tools and finding new use cases. To achieve these goals, two rounds of a survey at two different time periods (a year apart) were conducted. Responses from 158 industry experts and researchers were analyzed to assess the current state, growth, and saving opportunities for AR/VR technologies for the AEC industry. The authors used t-test for hypothesis testing. The findings show a significant increase in AR/VR utilization in the AEC industry over the past year from 2017 to 2018. The industry experts also anticipate strong growth in the use of AR/VR technologies over the next 5 to 10 years.","['Mojtaba Noghabaei', 'Arsalan Heydarian', 'Vahid Balali', 'Kevin Han']",2020-05-06T13:16:05Z,http://arxiv.org/abs/2005.02795v1,['cs.CY']
"BIMxAR: BIM-Empowered Augmented Reality for Learning Architectural
  Representations","Literature review shows limited research investigating the utilization of Augmented Reality (AR) to improve learning and understanding architectural representations, specifically section views. In this study, we present an AR system prototype (BIMxAR), its new and accurate building-scale registration method, and its novel visualization features that facilitate the comprehension of building construction systems, materials configuration, and 3D section views of complex structures through the integration of AR, Building Information Modeling (BIM), and physical buildings. A pilot user study found improvements after students studied building section views in a physical building with AR, though not statistically significant, in terms of scores of the Santa Barbara Solids Test (SBST) and the Architectural Representations Test (ART). When incorporating time as a performance factor, the ART timed scores show a significant improvement in the posttest session. BIMxAR has the potential to enhance the students spatial abilities, particularly in understanding buildings and complex section views.","['Ziad Ashour', 'Zohreh Shaghaghian', 'Wei Yan']",2022-04-07T04:32:43Z,http://arxiv.org/abs/2204.03207v2,['cs.HC']
"Semantic-Based VPS for Smartphone Localization in Challenging Urban
  Environments","Accurate smartphone-based outdoor localization system in deep urban canyons are increasingly needed for various IoT applications such as augmented reality, intelligent transportation, etc. The recently developed feature-based visual positioning system (VPS) by Google detects edges from smartphone images to match with pre-surveyed edges in their map database. As smart cities develop, the building information modeling (BIM) becomes widely available, which provides an opportunity for a new semantic-based VPS. This article proposes a novel 3D city model and semantic-based VPS for accurate and robust pose estimation in urban canyons where global navigation satellite system (GNSS) tends to fail. In the offline stage, a material segmented city model is used to generate segmented images. In the online stage, an image is taken with a smartphone camera that provides textual information about the surrounding environment. The approach utilizes computer vision algorithms to rectify and hand segment between the different types of material identified in the smartphone image. A semantic-based VPS method is then proposed to match the segmented generated images with the segmented smartphone image. Each generated image holds a pose that contains the latitude, longitude, altitude, yaw, pitch, and roll. The candidate with the maximum likelihood is regarded as the precise pose of the user. The positioning results achieves 2.0m level accuracy in common high rise along street, 5.5m in foliage dense environment and 15.7m in alleyway. A 45% positioning improvement to current state-of-the-art method. The estimation of yaw achieves 2.3{\deg} level accuracy, 8 times the improvement to smartphone IMU.","['Max Jwo Lem Lee', 'Li-Ta Hsu', 'Hoi-Fung Ng', 'Shang Lee']",2020-11-21T08:18:43Z,http://arxiv.org/abs/2011.10743v1,['cs.RO']
"Linking Physical Objects to Their Digital Twins via Fiducial Markers
  Designed for Invisibility to Humans","The ability to label and track physical objects that are assets in digital representations of the world is foundational to many complex systems. Simple, yet powerful methods such as bar- and QR-codes have been highly successful, e.g. in the retail space, but the lack of security, limited information content and impossibility of seamless integration with the environment have prevented a large-scale linking of physical objects to their digital twins. This paper proposes to link digital assets created through BIM with their physical counterparts using fiducial markers with patterns defined by Cholesteric Spherical Reflectors (CSRs), selective retroreflectors produced using liquid crystal self-assembly. The markers leverage the ability of CSRs to encode information that is easily detected and read with computer vision while remaining practically invisible to the human eye. We analyze the potential of a CSR-based infrastructure from the perspective of BIM, critically reviewing the outstanding challenges in applying this new class of functional materials, and we discuss extended opportunities arising in assisting autonomous mobile robots to reliably navigate human-populated environments, as well as in augmented reality.","['Mathew Schwartz', 'Yong Geng', 'Hakam Agha', 'Rijeesh Kizhakidathazhath', 'Danqing Liu', 'Gabriele Lenzini', 'Jan PF Lagerwall']",2021-05-12T17:09:39Z,http://arxiv.org/abs/2105.05800v1,"['cond-mat.soft', 'cs.SY', 'eess.SY']"
"Supporting Construction and Architectural Visualization through BIM and
  AR/VR: A Systematic Literature Review","The Architecture, Engineering, Construction, and Facility Management (AEC/FM) industry deals with the design, construction, and operation of complex buildings. Today, Building Information Modeling (BIM) is used to represent information about a building in a single, non-redundant representation. Here, Augmented Reality (AR) and Virtual Reality (VR) can improve the visualization and interaction with the resulting model by augmenting the real world with information from the BIM model or allowing a user to immerse in a virtual world generated from the BIM model. This can improve the design, construction, and operation of buildings. While an increasing number of studies in HCI, construction, or engineering have shown the potential of using AR and VR technology together with BIM, often research remains focused on individual explorations and key design strategies. In addition to that, a systematic overview and discussion of recent works combining AR/VR with BIM are not yet fully covered. Therefore, this paper systematically reviews recent approaches combining AR/VR with BIM and categorizes the literature by the building's lifecycle phase while systematically describing relevant use cases. In total, 32 out of 447 papers between 2017 and 2022 were categorized. The categorization shows that most approaches focus on the construction phase and the use case of review and quality assurance. In the design phase, most approaches use VR, while in the construction and operation phases, AR is prevalent.","['Enes Yigitbas', 'Alexander Nowosad', 'Gregor Engels']",2023-06-21T13:52:37Z,http://arxiv.org/abs/2306.12274v1,['cs.HC']
